                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7883,                  4.495,                 1.8815,                 0.1211,                0.39333,                0.10995,                0.03503,                0.87345,                 1.7198,                 1.0103,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.8216,                 3.1198,                 1.8997,                 0.1899,                0.27243,                0.13803,                0.04823,                0.89693,                 1.4209,                0.97688,              0.0066332,              0.0066332,              0.0066332
                      3,                 1.9104,                 3.1401,                 2.0211,                0.14078,                0.30306,                0.11831,                0.04042,                0.89911,                 1.5722,                 1.0358,              0.0099005,              0.0099005,              0.0099005
                      4,                 1.9446,                 3.1585,                 2.0879,                0.20613,                0.26532,                0.14662,                0.05621,                0.87898,                 1.4023,                 1.0064,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8682,                 2.9445,                  2.022,                0.25664,                 0.3058,                0.18775,                0.07382,                0.84586,                 1.2917,                0.96001,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.791,                  2.825,                 1.9555,                0.33245,                 0.3233,                0.27134,                0.10854,                0.82193,                 1.2465,                0.92563,               0.009802,               0.009802,               0.009802
                      7,                  1.767,                 2.7654,                  1.942,                0.33505,                0.32549,                0.27594,                0.11698,                0.80371,                 1.2961,                0.93513,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7554,                 2.6916,                  1.929,                0.36399,                0.32987,                0.28034,                 0.1182,                0.80262,                 1.2118,                0.92956,               0.009703,               0.009703,               0.009703
                      9,                 1.7153,                 2.6377,                 1.8857,                0.38536,                 0.3419,                0.30558,                0.13163,                0.79937,                  1.195,                0.92926,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6986,                 2.5821,                 1.8672,                0.42252,                 0.3523,                0.34769,                0.15069,                0.78042,                 1.1647,                0.89404,               0.009604,               0.009604,               0.009604
                     11,                 1.6769,                 2.5229,                 1.8304,                0.46758,                0.40208,                0.38852,                0.17238,                0.78333,                 1.1234,                0.89279,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6596,                  2.509,                 1.8294,                 0.4279,                0.42013,                0.38633,                0.17315,                0.77863,                 1.1226,                0.87624,               0.009505,               0.009505,               0.009505
                     13,                 1.6712,                 2.4822,                 1.8304,                0.43317,                0.39422,                0.37815,                0.17215,                 0.7666,                 1.0958,                0.87489,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6569,                 2.4284,                 1.8137,                 0.4805,                0.41083,                0.41263,                0.18511,                0.76535,                 1.0752,                0.87221,               0.009406,               0.009406,               0.009406
                     15,                 1.6276,                 2.4152,                 1.7749,                 0.4879,                0.39989,                0.41071,                0.18353,                0.76257,                 1.0721,                0.85927,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.624,                 2.3766,                 1.7764,                 0.4715,                0.42888,                0.41686,                0.19085,                 0.7571,                 1.0461,                0.86215,               0.009307,               0.009307,               0.009307
                     17,                 1.6231,                 2.3839,                 1.7866,                0.49637,                0.44365,                0.44117,                0.20314,                0.74941,                 1.0682,                0.84865,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6339,                 2.3665,                 1.7936,                0.48018,                0.43004,                0.43247,                0.19573,                0.74815,                  1.044,                 0.8544,               0.009208,               0.009208,               0.009208
                     19,                 1.6177,                 2.3741,                 1.7938,                0.49787,                0.43175,                0.44464,                0.20611,                0.74741,                 1.0396,                0.85595,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5952,                 2.3335,                 1.7646,                0.48652,                0.46441,                0.45248,                0.20936,                0.74764,                 1.0082,                0.84916,               0.009109,               0.009109,               0.009109
                     21,                 1.5924,                  2.323,                 1.7512,                0.51522,                0.44858,                0.46349,                 0.2132,                0.74198,                 1.0044,                0.84586,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6038,                 2.3271,                 1.7623,                0.52728,                0.44092,                0.46837,                0.21887,                0.73915,                 1.0086,                0.84149,                0.00901,                0.00901,                0.00901
                     23,                  1.599,                 2.3018,                 1.7726,                0.51459,                0.46171,                0.46907,                0.21998,                0.73941,                0.99345,                0.84055,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6047,                 2.3099,                 1.7694,                0.53488,                0.45671,                0.47946,                0.22389,                0.73438,                0.98944,                0.83525,               0.008911,               0.008911,               0.008911
                     25,                  1.588,                 2.2695,                 1.7475,                0.54017,                0.46499,                0.48534,                0.22965,                0.73127,                0.98019,                0.83213,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5758,                 2.2351,                 1.7276,                0.54379,                0.45897,                0.48873,                0.23204,                0.72881,                0.98118,                0.82776,               0.008812,               0.008812,               0.008812
                     27,                  1.588,                 2.2685,                 1.7648,                0.54067,                0.45241,                 0.4907,                0.23389,                0.72799,                0.97822,                0.82881,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5883,                 2.2303,                 1.7416,                0.54891,                0.46796,                0.50001,                0.23786,                0.72742,                0.97273,                0.82511,               0.008713,               0.008713,               0.008713
                     29,                  1.573,                 2.2455,                 1.7329,                  0.556,                0.45829,                0.50221,                0.23787,                0.72679,                0.97276,                0.82525,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5675,                 2.2119,                 1.7333,                0.55132,                0.46937,                0.50067,                0.23859,                0.72693,                0.96702,                0.82409,               0.008614,               0.008614,               0.008614
                     31,                 1.5541,                 2.1902,                 1.7047,                0.55254,                0.47374,                0.50219,                0.23906,                0.72473,                0.97018,                0.82088,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5571,                 2.2167,                 1.7073,                0.55553,                0.47109,                0.50309,                0.24069,                0.72205,                0.96863,                0.81788,               0.008515,               0.008515,               0.008515
                     33,                 1.5386,                 2.2005,                 1.7054,                0.55835,                0.46663,                0.50513,                 0.2426,                0.72207,                 0.9627,                0.81821,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5482,                 2.1726,                 1.7093,                0.54556,                0.47415,                0.50956,                0.24367,                0.72297,                 0.9598,                0.81777,               0.008416,               0.008416,               0.008416
                     35,                 1.5601,                 2.1988,                 1.7329,                0.55623,                0.47155,                0.50942,                0.24392,                0.72275,                0.95607,                0.81723,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.5489,                 2.1825,                 1.7145,                 0.5528,                0.47921,                0.51074,                0.24498,                0.72255,                0.95354,                  0.817,               0.008317,               0.008317,               0.008317
                     37,                 1.5513,                 2.1724,                 1.7078,                0.55729,                0.48249,                0.51307,                0.24523,                0.72229,                 0.9522,                0.81662,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.5528,                 2.1678,                 1.7257,                 0.5561,                0.48085,                0.51475,                0.24636,                0.72157,                0.94963,                0.81671,               0.008218,               0.008218,               0.008218
                     39,                 1.5551,                 2.1429,                 1.7196,                0.55362,                0.48249,                0.51692,                0.24798,                0.72146,                0.94759,                 0.8163,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.5272,                 2.1296,                  1.687,                0.56736,                0.47484,                0.51842,                0.24834,                 0.7211,                0.94555,                0.81591,               0.008119,               0.008119,               0.008119
                     41,                 1.5388,                 2.1183,                 1.6938,                0.56049,                0.47976,                0.51694,                0.24835,                0.72077,                 0.9444,                0.81542,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.5619,                 2.1541,                 1.7279,                0.55394,                0.48414,                0.51907,                0.24944,                0.72009,                0.94299,                0.81488,                0.00802,                0.00802,                0.00802
                     43,                 1.5437,                 2.1468,                 1.6993,                0.55829,                0.47757,                0.52017,                0.24999,                0.72002,                0.94032,                0.81441,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.5459,                 2.1276,                 1.7119,                0.56083,                0.47994,                0.52147,                0.25088,                0.71921,                0.94069,                0.81365,               0.007921,               0.007921,               0.007921
                     45,                 1.5298,                 2.1214,                  1.705,                0.56139,                0.48195,                0.52193,                0.25131,                0.71864,                0.93926,                0.81284,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.5566,                 2.1451,                 1.7074,                0.56281,                0.48085,                0.52329,                0.25245,                0.71878,                0.93809,                0.81257,               0.007822,               0.007822,               0.007822
                     47,                 1.5433,                 2.1129,                 1.6921,                0.56271,                0.48031,                0.52289,                0.25243,                0.71837,                0.93714,                0.81203,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.5283,                 2.0779,                 1.6853,                0.56144,                0.48414,                0.52438,                 0.2539,                0.71775,                0.93703,                0.81149,               0.007723,               0.007723,               0.007723
                     49,                 1.5236,                  2.101,                 1.6886,                0.55858,                0.48687,                0.52542,                0.25498,                0.71702,                0.93703,                0.81063,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.5329,                  2.101,                 1.6976,                0.55598,                0.48414,                0.52512,                0.25507,                0.71677,                0.93723,                0.81057,               0.007624,               0.007624,               0.007624
                     51,                 1.5324,                 2.1157,                 1.6999,                0.55901,                0.48632,                0.52742,                0.25567,                0.71611,                0.93724,                0.81014,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.5123,                 2.0574,                 1.6753,                0.56001,                0.48523,                0.52827,                0.25594,                0.71543,                0.93695,                0.80942,               0.007525,               0.007525,               0.007525
                     53,                 1.5254,                 2.1033,                 1.6879,                 0.5627,                0.48742,                0.52958,                0.25691,                 0.7147,                0.93821,                 0.8089,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.5243,                 2.0831,                 1.6884,                0.55794,                0.48906,                0.52994,                0.25697,                0.71446,                0.93726,                 0.8087,               0.007426,               0.007426,               0.007426
                     55,                  1.509,                 2.0607,                 1.6745,                0.55847,                0.48742,                0.52994,                0.25713,                0.71418,                0.93663,                 0.8085,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.5243,                 2.0733,                 1.6869,                0.56124,                0.48742,                0.52945,                0.25828,                0.71368,                0.93604,                0.80785,               0.007327,               0.007327,               0.007327
